Session_Time,Participant,Group,Type,Phasic_Mean,Tonic_Mean
2024-03-19 13:31:05.378217,hz5dvvyr,GroupB,Baseline,5.55949034773165,22551.842292440102
2024-03-19 13:31:05.378217,hz5dvvyr,GroupB,Window 1,-0.225117154366009,11527.749371373076
2024-03-19 13:31:05.378217,hz5dvvyr,GroupB,Window 2,-0.677322409544501,6096.648901675499
2024-03-19 13:31:05.378217,hz5dvvyr,GroupB,Window 3,1.0776949241610685,5309.321651221493
2024-03-19 13:31:05.378217,hz5dvvyr,GroupB,Window 4,1.4343936183139332,7199.626542910023
2024-03-19 13:31:05.378217,hz5dvvyr,GroupB,Window 5,-1.7188768992488117,10735.242709902133
2024-03-19 13:31:35.463200,uvcy2il3,GroupB,Baseline,-5.95162364751645,25114.88966016517
2024-03-19 13:31:35.463200,uvcy2il3,GroupB,Window 1,-22.955425973740617,25622.899300521094
2024-03-19 13:31:35.463200,uvcy2il3,GroupB,Window 2,0.47733494454069036,24759.59696534185
2024-03-19 13:31:35.463200,uvcy2il3,GroupB,Window 3,3.0535124608070894,24923.71595597202
2024-03-19 13:31:35.463200,uvcy2il3,GroupB,Window 4,0.4948165270571726,26798.532602150208
2024-03-19 13:31:35.463200,uvcy2il3,GroupB,Window 5,-2.437404598633078,26699.277610556874
2024-03-19 13:31:48.902643,zjy1zx27,GroupB,Baseline,-0.0001409335751188596,65532.585749428305
2024-03-19 13:31:48.902643,zjy1zx27,GroupB,Window 1,-0.000469843656216728,65532.5294278679
2024-03-19 13:31:48.902643,zjy1zx27,GroupB,Window 2,0.0003438649154898241,65532.6302934834
2024-03-19 13:31:48.902643,zjy1zx27,GroupB,Window 3,-0.0010513192945948533,65532.60908339861
2024-03-19 13:31:48.902643,zjy1zx27,GroupB,Window 4,0.0001829925104797408,65532.56168016957
2024-03-19 13:31:48.902643,zjy1zx27,GroupB,Window 5,0.0005321907441551976,65532.55045575811
2024-03-19 13:32:25.290483,65l2486h,GroupB,Baseline,-0.2324880116160554,825.2337844601741
2024-03-19 13:32:25.290483,65l2486h,GroupB,Window 1,0.1728616945826899,435.6403093245704
2024-03-19 13:32:25.290483,65l2486h,GroupB,Window 2,-0.0024739899379536546,159.42865587741335
2024-03-19 13:32:25.290483,65l2486h,GroupB,Window 3,0.0006049765605087651,151.39270221682165
2024-03-19 13:32:25.290483,65l2486h,GroupB,Window 4,0.006160533977909977,128.0911654078117
2024-03-19 13:32:25.290483,65l2486h,GroupB,Window 5,-0.009934864782637111,208.63514889006748
2024-03-19 13:32:56.831277,yuczq5zy,GroupB,Baseline,-5.14567830072645,29535.349356520976
2024-03-19 13:32:56.831277,yuczq5zy,GroupB,Window 1,4.046065192791941,28397.18874639355
2024-03-19 13:32:56.831277,yuczq5zy,GroupB,Window 2,0.25249182808478554,28363.301102396166
2024-03-19 13:32:56.831277,yuczq5zy,GroupB,Window 3,-2.993361323713748,28606.81495263533
2024-03-19 13:32:56.831277,yuczq5zy,GroupB,Window 4,3.519362109543255,29155.790193329256
2024-03-19 13:32:56.831277,yuczq5zy,GroupB,Window 5,-6.543375740965029,29262.46253300426
